rank,finalWorth,category,personName,age,country,city,source,industries,selfMade,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
256,8100,Food & Beverage,Tilman Fertitta,65,United States,Houston,"Houston Rockets, entertainment",Food & Beverage,TRUE,M,6/25/1957 0:00,Fertitta,Tilman,1957,6,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
256,8100,Diversified,Marie-Hélène Habert-Dassault,58,France,Paris,Diversified,Diversified,FALSE,F,04/04/1965 00:00,Habert-Dassault,Marie-Hélène,1965,4,4,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
256,8100,Gambling & Casinos,Karel Komarek,54,Switzerland,Verbier,"Oil and gas, IT, lotteries",Gambling & Casinos,TRUE,M,3/15/1969 0:00,Komarek,Karel,1969,3,15,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
261,8000,Technology,Nathan Blecharczyk,39,United States,San Francisco,Airbnb,Technology,TRUE,M,06/11/1983 00:00,Blecharczyk,Nathan,1983,6,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
261,8000,Energy,Leonid Fedun,66,Russia,Moscow,Oil,Energy,TRUE,M,04/05/1956 00:00,Fedun,Leonid,1956,4,5,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
261,8000,Fashion & Retail,Bernard Marcus,93,United States,Atlanta,Home Depot,Fashion & Retail,TRUE,M,05/12/2029 00:00,Marcus,Bernard,1929,5,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
261,8000,Finance & Investments,Patrick Ryan,85,United States,Winnetka,Insurance,Finance & Investments,TRUE,M,5/15/1937 0:00,Ryan,Patrick,1937,5,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
261,8000,Finance & Investments,Robert F. Smith,60,United States,Austin,Private equity,Finance & Investments,TRUE,M,12/01/1962 00:00,Smith,Robert F.,1962,12,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
261,8000,Metals & Mining,Pavel Tykac,58,Czech Republic,Prague,Coal mines,Metals & Mining,TRUE,M,5/15/1964 0:00,Tykac,Pavel,1964,5,15,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709
268,7900,Finance & Investments,Orlando Bravo,52,United States,Miami Beach,Private equity,Finance & Investments,TRUE,M,9/23/1970 0:00,Bravo,Orlando,1970,9,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
268,7900,Fashion & Retail,Ding Shizhong,52,China,Quanzhou,Sports apparel,Fashion & Retail,TRUE,M,12/01/1970 00:00,Ding,Shizhong,1970,12,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
268,7900,Fashion & Retail,Nancy Walton Laurie,71,United States,Henderson,Walmart,Fashion & Retail,FALSE,F,5/15/1951 0:00,Laurie,Nancy Walton,1951,5,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
268,7900,Technology,Jay Y. Lee,54,South Korea,Seoul,Samsung,Technology,FALSE,M,6/23/1968 0:00,Lee,Jay Y.,1968,6,23,115.16,"$2,029,000,000,000 ",82.6,15.6,33.2,51709098
268,7900,Finance & Investments,Ramzi Musallam,54,United States,New York,Private equity,Finance & Investments,TRUE,M,9/17/1968 0:00,Musallam,Ramzi,1968,9,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
268,7900,Finance & Investments,David Shaw,72,United States,New York,Hedge funds,Finance & Investments,TRUE,M,3/29/1951 0:00,Shaw,David,1951,3,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
268,7900,Metals & Mining,Andrei Skoch & family,57,Russia,Moscow,Metals and mining,Metals & Mining,TRUE,M,1/30/1966 0:00,Skoch & family,Andrei,1966,1,30,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
268,7900,Diversified,Georg Stumpf,50,Austria,Vienna,"Real estate, construction",Diversified,TRUE,M,9/14/1972 0:00,Stumpf,Georg,1972,9,14,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067
276,7800,Telecom,Rocco Commisso,73,United States,Saddle River,Telecom,Telecom,TRUE,M,11/25/1949 0:00,Commisso,Rocco,1949,11,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
276,7800,Manufacturing,Li Shuirong & family,66,China,Hangzhou,Petrochemicals,Manufacturing,TRUE,M,07/01/1956 00:00,Li,Shuirong,1956,7,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
276,7800,Technology,Qi Shi & family,53,China,Shanghai,Financial information,Technology,TRUE,M,01/03/1970 00:00,Qi,Shi,1970,1,3,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
276,7800,Manufacturing,Yao Liangsong,58,China,Guangzhou,Furniture,Manufacturing,TRUE,M,08/01/1964 00:00,Yao,Liangsong,1964,8,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
282,7700,Food & Beverage,Jean-Michel Besnier,55,France,Laval,Cheese,Food & Beverage,FALSE,M,06/05/1967 00:00,Besnier,Jean-Michel,1967,6,5,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
282,7700,Food & Beverage,Marie Besnier Beauvalot,42,France,Laval,Cheese,Food & Beverage,FALSE,F,7/30/1980 0:00,Besnier Beauvalot,Marie,1980,7,30,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
282,7700,Media & Entertainment,David Geffen,80,United States,Beverly Hills,"Movies, record labels",Media & Entertainment,TRUE,M,2/21/1943 0:00,Geffen,David,1943,2,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
282,7700,Technology,Robin Li,54,China,Beijing,Internet search,Technology,TRUE,M,11/17/1968 0:00,Li,Robin,1968,11,17,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
282,7700,Service,Liu Yonghao & family,71,China,Chengdu,Agribusiness,Service,TRUE,M,09/01/1951 00:00,Liu,Yonghao,1951,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
282,7700,Technology,Henry Samueli,68,United States,Newport Beach,Semiconductors,Technology,TRUE,M,9/20/1954 0:00,Samueli,Henry,1954,9,20,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
282,7700,Healthcare,Reinhold Schmieding,68,United States,Naples,Medical devices,Healthcare,TRUE,M,01/03/1955 00:00,Schmieding,Reinhold,1955,1,3,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
282,7700,Real Estate,Ivar Tollefsen,61,Norway,Oslo,Real estate,Real Estate,TRUE,M,6/23/1961 0:00,Tollefsen,Ivar,1961,6,23,120.27,"$403,336,363,636 ",82.8,23.9,36.2,5347896
290,7600,Energy,Cao Renxian,54,China,Hefei,Photovoltaic equipment,Energy,TRUE,M,7/24/1968 0:00,Cao,Renxian,1968,7,24,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
290,7600,Healthcare,Hasmukh Chudgar & family,89,India,Ahmedabad,Pharmaceuticals,Healthcare,TRUE,M,9/19/1933 0:00,Chudgar,Hasmukh,1933,9,19,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
290,7600,Manufacturing,Andrew Currie,67,United Kingdom,London,Chemicals,Manufacturing,TRUE,M,12/04/1955 00:00,Currie,Andrew,1955,12,4,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
290,7600,Technology,Joe Gebbia,41,United States,Austin,Airbnb,Technology,TRUE,M,8/21/1981 0:00,Gebbia,Joe,1981,8,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
290,7600,Real Estate,Philip Ng,64,Singapore,Singapore,Real Estate,Real Estate,FALSE,M,01/01/1959 00:00,Ng,Philip,1959,1,1,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569
290,7600,Manufacturing,John Reece,66,United Kingdom,London,Chemicals,Manufacturing,TRUE,M,03/07/1957 00:00,Reece,John,1957,3,7,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
290,7600,Real Estate,Leonard Stern,85,United States,New York,Real estate,Real Estate,FALSE,M,3/28/1938 0:00,Stern,Leonard,1938,3,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
290,7600,Healthcare,Zhong Huijuan,62,China,Shanghai,Pharmaceuticals,Healthcare,TRUE,F,01/01/1961 00:00,Zhong,Huijuan,1961,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
299,7500,Sports,Arthur Blank,80,United States,Atlanta,Home Depot,Sports,TRUE,M,9/27/1942 0:00,Blank,Arthur,1942,9,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
299,7500,Fashion & Retail,Charles Butt,85,United States,San Antonio,Supermarkets,Fashion & Retail,FALSE,M,02/03/1938 00:00,Butt,Charles,1938,2,3,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
299,7500,Fashion & Retail,Ding Shijia,59,China,Quanzhou,Sports apparel,Fashion & Retail,TRUE,M,01/01/1964 00:00,Ding,Shijia,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
299,7500,Finance & Investments,"Paul Tudor Jones, II.",68,United States,Palm Beach,Hedge funds,Finance & Investments,TRUE,M,9/28/1954 0:00,Jones,Paul Tudor,1954,9,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
299,7500,Finance & Investments,Henry Kravis,79,United States,New York,Private equity,Finance & Investments,TRUE,M,01/06/1944 00:00,Kravis,Henry,1944,1,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
299,7500,Food & Beverage,Zhang Yong,52,Singapore,Singapore,Restaurants,Food & Beverage,TRUE,M,07/01/1970 00:00,Zhang,Yong,1970,7,1,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569
305,7400,Technology,James Goodnight,80,United States,Cary,Software,Technology,TRUE,M,01/06/1943 04:00,Goodnight,James,1943,1,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
305,7400,Manufacturing,Sri Prakash Lohia,70,United Kingdom,London,Petrochemicals,Manufacturing,FALSE,M,08/11/1952 00:00,Lohia,Sri Prakash,1952,8,11,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
305,7400,Fashion & Retail,Ma Jianrong,59,China,Ningbo,"Textiles, apparel",Fashion & Retail,TRUE,M,01/01/1964 00:00,Ma,Jianrong,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
305,7400,Real Estate,Robert Ng,71,Singapore,Singapore,Real estate,Real Estate,FALSE,M,01/01/1952 00:00,Ng,Robert,1952,1,1,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569
305,7400,Manufacturing,Steven Rales,72,United States,Santa Barbara,"Manufacturing, investments",Manufacturing,TRUE,M,3/31/1951 0:00,Rales,Steven,1951,3,31,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
305,7400,Construction & Engineering,Nassef Sawiris,62,Egypt,Cairo,"Construction, investments",Construction & Engineering,FALSE,M,1/19/1961 0:00,Sawiris,Nassef,1961,1,19,288.57,"$303,175,127,598 ",71.8,12.5,44.4,100388073
305,7400,Food & Beverage,Harry Stine,81,United States,Adel,Agriculture,Food & Beverage,TRUE,M,11/30/1941 0:00,Stine,Harry,1941,11,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
312,7300,Manufacturing,Benu Gopal Bangur,91,India,Kolkata,Cement,Manufacturing,FALSE,M,06/01/1931 00:00,Bangur,Benu Gopal,1931,6,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
312,7300,Metals & Mining,Iskander Makhmudov,59,Russia,Moscow,"Mining, metals, machinery",Metals & Mining,TRUE,M,12/05/1963 00:00,Makhmudov,Iskander,1963,12,5,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
312,7300,Fashion & Retail,Anders Holch Povlsen,50,Denmark,Aarhus,Fashion retail,Fashion & Retail,FALSE,M,11/04/1972 00:00,Povlsen,Anders Holch,1972,11,4,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553
312,7300,Logistics,Enrique Razon Jr.,63,Philippines,Manila,Ports,Logistics,FALSE,M,03/03/1960 00:00,Razon Jr.,Enrique,1960,3,3,129.61,"$376,795,508,680 ",71.1,14,43.1,108116615
312,7300,Technology,Wang Laichun,55,China,Shenzhen,Electronics components,Technology,TRUE,F,06/03/1967 00:00,Wang,Laichun,1967,6,3,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
317,7200,Finance & Investments,Arthur Dantchik,65,United States,Gladwyne,"Trading, investments",Finance & Investments,TRUE,M,11/25/1957 0:00,Dantchik,Arthur,1957,11,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
317,7200,Real Estate,Jeff Greene,68,United States,Palm Beach,"Real estate, investments",Real Estate,TRUE,M,12/10/1954 00:00,Greene,Jeff,1954,12,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
317,7200,Finance & Investments,Don Hankey,79,United States,Malibu,Auto loans,Finance & Investments,TRUE,M,6/13/1943 0:00,Hankey,Don,1943,6,13,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
317,7200,Energy,Richard Kinder,78,United States,Houston,Pipelines,Energy,TRUE,M,10/19/1944 0:00,Kinder,Richard,1944,10,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
317,7200,Finance & Investments,Guillaume Pousaz,41,United Arab Emirates,Dubai,Fintech,Finance & Investments,TRUE,M,8/15/1981 0:00,Pousaz,Guillaume,1981,8,15,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529
317,7200,Fashion & Retail,Takahisa Takahara,61,Japan,Tokyo,Personal care goods,Fashion & Retail,FALSE,M,07/12/1961 00:00,Takahara,Takahisa,1961,7,12,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568
317,7200,Food & Beverage,Zong Qinghou,77,China,Hangzhou,Beverages,Food & Beverage,TRUE,M,10/01/1945 00:00,Zong,Qinghou,1945,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
325,7100,Technology,Judy Faulkner,79,United States,Madison,Healthcare software,Technology,TRUE,F,08/01/1943 00:00,Faulkner,Judy,1943,8,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
325,7100,Gambling & Casinos,Johann Graf,76,Austria,Vienna,Gambling,Gambling & Casinos,TRUE,M,01/03/1947 00:00,Graf,Johann,1947,1,3,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067
325,7100,Service,Tamara Gustavson,61,United States,Lexington,Self storage,Service,FALSE,F,11/16/1961 0:00,Gustavson,Tamara,1961,11,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
325,7100,Manufacturing,Liang Wengen,66,China,Changsha,Construction equipment,Manufacturing,TRUE,M,12/14/1956 0:00,Liang,Wengen,1956,12,14,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
325,7100,Healthcare,Frederik Paulsen,72,Switzerland,Lausanne,Health care,Healthcare,FALSE,M,10/30/1950 0:00,Paulsen,Frederik,1950,10,30,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
325,7100,Finance & Investments,Wee Cho Yaw,94,Singapore,Singapore,Banking,Finance & Investments,FALSE,M,01/10/2029 00:00,Wee,Cho Yaw,1929,1,10,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569
325,7100,Manufacturing,Zhang Hejun,71,China,Ningbo,Electronics,Manufacturing,TRUE,M,01/01/1952 00:00,Zhang,Hejun,1952,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
332,7000,Technology,Marc Benioff,58,United States,San Francisco,Business software,Technology,TRUE,M,9/25/1964 0:00,Benioff,Marc,1964,9,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
332,7000,Media & Entertainment,Dmitri Bukhman,37,United Kingdom,London,Online games,Media & Entertainment,TRUE,M,5/27/1985 0:00,Bukhman,Dmitri,1985,5,27,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
332,7000,Media & Entertainment,Igor Bukhman,41,United Kingdom,London,Online games,Media & Entertainment,TRUE,M,3/29/1982 0:00,Bukhman,Igor,1982,3,29,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
332,7000,Technology,Jack Dangermond,77,United States,Redlands,Mapping software,Technology,TRUE,M,7/23/1945 0:00,Dangermond,Jack,1945,7,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
332,7000,Manufacturing,Ashwin Dani & family,80,India,Mumbai,Paints,Manufacturing,FALSE,M,10/24/1942 0:00,Dani,Ashwin,1942,10,24,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
332,7000,Fashion & Retail,Ralph Lauren,83,United States,New York,Apparel,Fashion & Retail,TRUE,M,10/14/1939 0:00,Lauren,Ralph,1939,10,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
332,7000,Diversified,Rohiqa Cyrus Mistry,55,India,Mumbai,Diversified,Diversified,FALSE,F,06/06/1967 00:00,Mistry,Rohiqa Cyrus,1967,6,6,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
332,7000,Diversified,Shapoor Mistry,58,India,Mumbai,Diversified,Diversified,FALSE,M,09/06/1964 00:00,Mistry,Shapoor,1964,9,6,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
332,7000,Food & Beverage,J. Christopher Reyes,69,United States,Hobe Sound,Food distribution,Food & Beverage,TRUE,M,12/29/1953 0:00,Reyes,J. Christopher,1953,12,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
332,7000,Food & Beverage,Jude Reyes,67,United States,Palm Beach,Food distribution,Food & Beverage,TRUE,M,9/16/1955 0:00,Reyes,Jude,1955,9,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
332,7000,Food & Beverage,Don Vultaggio & family,71,United States,Port Washington,Beverages,Food & Beverage,TRUE,M,2/26/1952 0:00,Vultaggio,Don,1952,2,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
344,6900,Diversified,Edythe Broad & family,87,United States,Los Angeles,"Homebuilding, insurance",Diversified,FALSE,F,01/01/1936 00:00,Broad,Edythe,1936,1,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
344,6900,Food & Beverage,Pauline MacMillan Keinath,89,United States,St. Louis,Cargill,Food & Beverage,FALSE,F,01/01/1934 00:00,Keinath,Pauline MacMillan,1934,1,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
344,6900,Finance & Investments,Philippe Laffont,55,United States,New York,Hedge fund,Finance & Investments,TRUE,M,9/16/1967 0:00,Laffont,Philippe,1967,9,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
344,6900,Technology,Liu Jincheng & family,58,China,Huizhou,Lithium batteries,Technology,TRUE,M,9/22/1964 0:00,Liu,Jincheng,1964,9,22,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
344,6900,Real Estate,Igor Olenicoff,80,United States,Lighthouse Point,Real estate,Real Estate,TRUE,M,9/20/1942 0:00,Olenicoff,Igor,1942,9,20,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
344,6900,Fashion & Retail,Sandra Ortega Mera,54,Spain,La Coruna,Zara,Fashion & Retail,FALSE,F,07/09/1968 00:00,Ortega Mera,Sandra,1968,7,9,110.96,"$1,394,116,310,769 ",83.3,14.2,47,47076781
344,6900,Healthcare,Ronda Stryker,68,United States,Portage,Medical equipment,Healthcare,FALSE,F,05/01/1954 00:00,Stryker,Ronda,1954,5,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Energy,Dannine Avara,59,United States,Houston,Pipelines,Energy,FALSE,F,03/09/1964 00:00,Avara,Dannine,1964,3,9,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Diversified,Silvio Berlusconi & family,86,Italy,Milan,Media,Diversified,TRUE,M,9/29/1936 0:00,Berlusconi,Silvio,1936,9,29,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396
352,6800,Gambling & Casinos,Denise Coates,55,United Kingdom,Stoke-on-Trent,Online gambling,Gambling & Casinos,TRUE,F,9/26/1967 0:00,Coates,Denise,1967,9,26,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
352,6800,Energy,Scott Duncan,40,United States,Houston,Pipelines,Energy,FALSE,M,11/01/1982 00:00,Duncan,Scott,1982,11,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Energy,Milane Frantz,53,United States,Houston,Pipelines,Energy,FALSE,F,08/12/1969 00:00,Frantz,Milane,1969,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Finance & Investments,"Edward Johnson, IV.",58,United States,Boston,Fidelity,Finance & Investments,FALSE,M,11/18/1964 0:00,Johnson,Edward,1964,11,18,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Finance & Investments,Yuri Milner,61,United States,Los Altos,Tech investments,Finance & Investments,TRUE,M,11/11/1961 00:00,Milner,Yuri,1961,11,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Technology,Gordon Moore,94,United States,Woodside,Intel,Technology,TRUE,M,01/03/2029 00:00,Moore,Gordon,1929,1,3,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Finance & Investments,John Overdeck,53,United States,Millburn,Hedge funds,Finance & Investments,TRUE,M,12/21/1969 0:00,Overdeck,John,1969,12,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Finance & Investments,David Siegel,61,United States,Scarsdale,Hedge funds,Finance & Investments,TRUE,M,7/15/1961 0:00,Siegel,David,1961,7,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
352,6800,Diversified,Viktor Vekselberg,65,Russia,Moscow,"Metals, investments",Diversified,TRUE,M,4/14/1957 0:00,Vekselberg,Viktor,1957,4,14,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
352,6800,Technology,Wang Laisheng,58,China,Shenzhen,Electronics components,Technology,TRUE,M,12/14/1964 0:00,Wang,Laisheng,1964,12,14,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
352,6800,Energy,Randa Duncan Williams,61,United States,Houston,Pipelines,Energy,FALSE,F,8/28/1961 0:00,Williams,Randa Duncan,1961,8,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Finance & Investments,Ken Fisher,72,United States,Dallas,Money management,Finance & Investments,TRUE,M,11/29/1950 0:00,Fisher,Ken,1950,11,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Finance & Investments,Christopher Hohn,56,United Kingdom,London,Hedge funds,Finance & Investments,TRUE,M,10/27/1966 0:00,Hohn,Christopher,1966,10,27,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
365,6700,Manufacturing,Kjeld Kirk Kristiansen,75,Denmark,Billund,Lego,Manufacturing,FALSE,M,12/27/1947 0:00,Kristiansen,Kjeld Kirk,1947,12,27,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553
365,6700,Manufacturing,Sofie Kirk Kristiansen,47,Denmark,Billund,Lego,Manufacturing,FALSE,F,01/01/1976 00:00,Kristiansen,Sofie Kirk,1976,1,1,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553
365,6700,Manufacturing,Thomas Kirk Kristiansen,44,Denmark,Billund,Lego,Manufacturing,FALSE,M,01/01/1979 00:00,Kristiansen,Thomas Kirk,1979,1,1,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553
365,6700,Healthcare,Massimiliana Landini Aleotti & family,80,Italy,Fiesole,Pharmaceuticals,Healthcare,FALSE,F,01/01/1943 00:00,Landini Aleotti,Massimiliana,1943,1,1,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396
365,6700,Automotive,Li Ping,55,China,Ningde,Batteries,Automotive,TRUE,M,01/01/1968 00:00,Li,Ping,1968,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
365,6700,Manufacturing,Lin Jianhua,60,China,Hangzhou,Solar panel components,Manufacturing,TRUE,M,08/01/1962 00:00,Lin,Jianhua,1962,8,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
365,6700,Manufacturing,Magdalena Martullo-Blocher,54,Switzerland,Feldmeilen,Chemicals,Manufacturing,FALSE,F,01/01/1969 00:00,Martullo-Blocher,Magdalena,1969,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
365,6700,Telecom,Xavier Niel,55,France,Paris,"Internet, telecom",Telecom,TRUE,M,8/25/1967 0:00,Niel,Xavier,1967,8,25,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
365,6700,Energy,Terrence Pegula,72,United States,Boca Raton,Natural gas,Energy,TRUE,M,3/27/1951 0:00,Pegula,Terrence,1951,3,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Real Estate,"Edward Roski, Jr.",84,United States,Los Angeles,Real estate,Real Estate,FALSE,M,12/25/1938 0:00,Roski,Edward,1938,12,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Real Estate,John A. Sobrato & family,83,United States,Atherton,Real estate,Real Estate,TRUE,M,5/23/1939 0:00,Sobrato,John A.,1939,5,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Finance & Investments,George Soros,92,United States,Katonah,Hedge funds,Finance & Investments,TRUE,M,08/12/1930 00:00,Soros,George,1930,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Technology,David Sun,71,United States,Irvine,Computer hardware,Technology,TRUE,M,10/12/1951 00:00,Sun,David,1951,10,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Manufacturing,Agnete Kirk Thinggaard,39,Denmark,Billund,Lego,Manufacturing,FALSE,F,5/18/1983 0:00,Thinggaard,Agnete Kirk,1983,5,18,110.35,"$348,078,018,464 ",81,32.4,23.8,5818553
365,6700,Technology,John Tu,81,United States,Rolling Hills,Computer hardware,Technology,TRUE,M,08/12/1941 00:00,Tu,John,1941,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
365,6700,Food & Beverage,Xu Shihui,65,China,Quanzhou,"Snacks, beverages",Food & Beverage,TRUE,M,01/01/1958 00:00,Xu,Shihui,1958,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
383,6600,Manufacturing,Rahel Blocher,47,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,FALSE,F,01/01/1976 00:00,Blocher,Rahel,1976,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
383,6600,Food & Beverage,Bubba Cathy,68,United States,Atlanta,Chick-fil-A,Food & Beverage,FALSE,M,4/22/1954 0:00,Cathy,Bubba,1954,4,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
383,6600,Food & Beverage,Dan Cathy,70,United States,Atlanta,Chick-fil-A,Food & Beverage,FALSE,M,03/01/1953 00:00,Cathy,Dan,1953,3,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
383,6600,Food & Beverage,Trudy Cathy White,67,United States,Hampton,Chick-fil-A,Food & Beverage,FALSE,F,12/17/1955 0:00,Cathy White,Trudy,1955,12,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
